species,station_id,station_name,n_years,first_year,last_year,mean_doy,ols_slope,ols_decade,ols_r,ols_p,gls_slope,gls_se,gls_p,ar1_rho,gls_transition
うめの開花,札幌,412,71,1953,2024,121.9,-0.19952,-1.995,-0.5838,0.000000,-0.20674,0.04498,0.000019,0.2621,
うめの開花,帯広,417,10,1954,1963,127.7,-1.36364,-13.636,-0.8061,0.004860,-1.25374,0.25151,0.001592,-0.4814,
うめの開花,室蘭,423,50,1954,2024,123.0,-0.17600,-1.760,-0.4555,0.000889,-0.19997,0.07004,0.006381,0.2906,
うめの開花,江差,428,49,1953,2007,119.7,-0.10978,-1.098,-0.2410,0.095302,-0.08562,0.08866,0.339280,0.2811,
うめの開花,函館,430,71,1953,2024,119.3,-0.18823,-1.882,-0.5434,0.000001,-0.19346,0.04213,0.000020,0.1575,
うめの開花,新庄,520,40,1958,1997,109.8,-0.15441,-1.544,-0.2770,0.083580,-0.14983,0.08754,0.095357,-0.0434,
うめの開花,青森,575,66,1956,2024,111.2,-0.17224,-1.722,-0.4897,0.000030,-0.18329,0.05193,0.000784,0.2656,
うめの開花,八戸,581,49,1953,2007,107.8,-0.13102,-1.310,-0.2618,0.069192,-0.12602,0.08814,0.159548,0.1820,
うめの開花,秋田,582,72,1953,2024,100.5,-0.16710,-1.671,-0.4680,0.000034,-0.16541,0.04681,0.000736,0.1862,
うめの開花,盛岡,584,69,1953,2024,100.9,-0.34670,-3.467,-0.5704,0.000000,-0.36895,0.08290,0.000034,0.2749,
うめの開花,宮古,585,54,1953,2007,95.8,-0.13535,-1.354,-0.2769,0.042689,-0.13198,0.05911,0.029975,-0.1337,
うめの開花,酒田,587,56,1954,2009,93.9,-0.09624,-0.962,-0.1808,0.182390,-0.10395,0.09215,0.264390,0.2190,
うめの開花,山形,588,72,1953,2024,92.5,-0.01719,-0.172,-0.0390,0.745149,-0.01150,0.05578,0.837262,0.0313,
うめの開花,仙台,590,70,1953,2024,62.2,-0.02121,-0.212,-0.0238,0.844708,-0.00844,0.12800,0.947645,0.1416,
うめの開花,福島,595,72,1953,2024,66.7,-0.10378,-1.038,-0.1503,0.207720,-0.13027,0.08648,0.136532,0.0450,
うめの開花,白河,597,46,1953,1998,73.9,0.03145,0.315,0.0251,0.868341,0.04553,0.19831,0.819511,0.0065,
うめの開花,小名浜,598,56,1953,2008,46.6,0.21692,2.169,0.2372,0.078402,0.26228,0.17213,0.133515,0.3194,
うめの開花,輪島,600,58,1953,2010,70.9,-0.19816,-1.982,-0.2613,0.047577,-0.20632,0.10787,0.061011,0.0634,sig_to_ns
うめの開花,相川,602,42,1953,2007,80.4,0.08435,0.844,0.1068,0.500945,0.10301,0.14266,0.474544,0.0893,
うめの開花,新潟,604,71,1953,2024,75.5,-0.34812,-3.481,-0.4901,0.000014,-0.34930,0.08958,0.000223,0.1544,
うめの開花,金沢,605,71,1953,2024,62.9,-0.34722,-3.472,-0.4530,0.000073,-0.34403,0.11324,0.003375,0.2835,
うめの開花,富山,607,68,1953,2024,63.1,-0.06141,-0.614,-0.0843,0.494544,-0.06987,0.10685,0.515471,0.1460,
うめの開花,長野,610,72,1953,2024,79.2,-0.10854,-1.085,-0.1761,0.139007,-0.10078,0.07712,0.195627,0.0348,
うめの開花,高田,612,55,1953,2007,67.6,0.60996,6.100,0.1635,0.232967,0.65113,0.50712,0.204845,-0.0329,
うめの開花,宇都宮,615,72,1953,2024,49.3,-0.36186,-3.619,-0.4743,0.000026,-0.36618,0.08495,0.000053,0.0289,
