species,station_id,station_name,lat,lon,n_years,first_year,last_year,mean_doy,slope_day_per_year,slope_day_per_decade,r,p
Tanna japonensis first call,912,与那国島,24.4667,123.01,46,1958,2008,90.5,0.0614,0.61,0.085,0.574348
Tanna japonensis first call,917,西表島,24.4267,123.765,38,1956,2001,104.2,0.0797,0.8,0.071,0.671487
Tanna japonensis first call,918,石垣島,24.3367,124.1633,64,1955,2020,89.7,-0.0716,-0.72,-0.121,0.341987
Tanna japonensis first call,927,宮古島,24.7933,125.2783,64,1953,2020,92.4,-0.0455,-0.45,-0.081,0.523675
Tanna japonensis first call,936,那覇,26.2067,127.6867,41,1974,2020,118.8,-0.0344,-0.34,-0.056,0.730285
Cryptotympana facialis first call,656,静岡,34.975,138.4033,38,1964,2002,197.3,-0.3149,-3.15,-0.535,0.000546
Cryptotympana facialis first call,663,尾鷲,34.0683,136.1933,10,1953,1964,199.0,-0.6508,-6.51,-0.41,0.239731
Cryptotympana facialis first call,772,大阪,34.6817,135.5183,45,1976,2020,189.3,-0.3216,-3.22,-0.573,3.9e-05
Cryptotympana facialis first call,776,洲本,34.31,134.8483,42,1953,2002,198.8,-0.0984,-0.98,-0.222,0.158146
Cryptotympana facialis first call,777,和歌山,34.2283,135.1633,68,1953,2020,194.8,-0.2539,-2.54,-0.694,0.0
Cryptotympana facialis first call,778,潮岬,33.45,135.7567,47,1957,2009,191.0,-0.1403,-1.4,-0.365,0.011702
Cryptotympana facialis first call,780,奈良,34.6733,135.8367,49,1972,2020,194.9,-0.305,-3.05,-0.614,3e-06
Cryptotympana facialis first call,819,熊本,32.8133,130.7067,46,1953,2002,186.6,-0.1821,-1.82,-0.365,0.012564
Cryptotympana facialis first call,827,鹿児島,31.555,130.5467,41,1953,2002,205.4,-0.2428,-2.43,-0.551,0.000189
Cryptotympana facialis first call,891,高松,34.3183,134.0533,11,1953,1963,203.2,-0.4091,-4.09,-0.317,0.342807
Cryptotympana facialis first call,892,宇和島,33.2267,132.5517,35,1971,2005,192.3,-0.0221,-0.22,-0.052,0.768692
Cryptotympana facialis first call,893,高知,33.5667,133.5483,43,1958,2020,186.7,-0.1054,-1.05,-0.342,0.024992
Cryptotympana facialis first call,912,与那国島,24.4667,123.01,50,1957,2008,161.4,0.2232,2.23,0.445,0.001208
Cryptotympana facialis first call,917,西表島,24.4267,123.765,42,1956,2001,190.3,0.3164,3.16,0.278,0.074472
Cryptotympana facialis first call,918,石垣島,24.3367,124.1633,67,1953,2020,159.3,0.009,0.09,0.021,0.864213
Cryptotympana facialis first call,927,宮古島,24.7933,125.2783,68,1953,2020,149.3,-0.0936,-0.94,-0.17,0.166296
Cryptotympana facialis first call,929,久米島,26.3367,126.8033,41,1962,2004,163.8,0.6823,6.82,0.549,0.0002
Cryptotympana facialis first call,936,那覇,26.2067,127.6867,58,1956,2020,174.8,-0.266,-2.66,-0.561,5e-06
Cryptotympana facialis first call,940,名護,26.5933,127.965,30,1972,2001,166.3,0.4287,4.29,0.522,0.003071
Butastur indicus southward migration,912,与那国島,24.4667,123.01,13,1957,2002,281.5,0.1892,1.89,0.32,0.286246
Butastur indicus southward migration,917,西表島,24.4267,123.765,27,1956,2001,286.5,0.0909,0.91,0.284,0.151512
Butastur indicus southward migration,918,石垣島,24.3367,124.1633,67,1953,2020,282.3,0.0897,0.9,0.31,0.010622
Butastur indicus southward migration,927,宮古島,24.7933,125.2783,65,1953,2020,281.2,0.0322,0.32,0.235,0.059006
Butastur indicus southward migration,929,久米島,26.3367,126.8033,15,1962,1984,286.0,0.2972,2.97,0.397,0.14288
Butastur indicus southward migration,936,那覇,26.2067,127.6867,25,1957,2002,284.0,-0.116,-1.16,-0.373,0.066287
Butastur indicus southward migration,940,名護,26.5933,127.965,22,1973,2001,283.0,0.0008,0.01,0.002,0.994279
Meimuna opalifera first call,595,福島,37.7583,140.47,61,1953,2020,225.6,0.1221,1.22,0.248,0.054088
Meimuna opalifera first call,597,白河,37.1317,140.215,13,1953,1965,229.6,-1.4451,-14.45,-0.741,0.003791
Meimuna opalifera first call,598,小名浜,36.9467,140.9033,53,1953,2008,223.1,0.1001,1.0,0.242,0.080523
Meimuna opalifera first call,600,輪島,37.39,136.895,58,1953,2010,212.7,0.1682,1.68,0.493,8.3e-05
Meimuna opalifera first call,602,相川,38.0283,138.24,55,1953,2007,220.9,0.0538,0.54,0.142,0.300757
Meimuna opalifera first call,604,新潟,37.8933,139.0183,33,1965,2020,230.8,-0.0593,-0.59,-0.081,0.653985
Meimuna opalifera first call,605,金沢,36.5883,136.6333,64,1953,2019,221.2,0.0335,0.34,0.106,0.405062
Meimuna opalifera first call,607,富山,36.7083,137.2017,63,1953,2020,216.9,-0.2367,-2.37,-0.609,0.0
Meimuna opalifera first call,610,長野,36.6617,138.1917,64,1953,2020,225.9,0.2104,2.1,0.405,0.000891
Meimuna opalifera first call,615,宇都宮,36.5483,139.8683,68,1953,2020,215.9,0.0353,0.35,0.095,0.442736
Meimuna opalifera first call,616,福井,36.055,136.2217,59,1962,2020,219.4,-0.2019,-2.02,-0.486,9.7e-05
Meimuna opalifera first call,618,松本,36.2467,137.97,22,1953,2002,231.5,0.0069,0.07,0.009,0.969673
Meimuna opalifera first call,624,前橋,36.405,139.06,67,1953,2020,221.7,-0.0227,-0.23,-0.064,0.60878
Meimuna opalifera first call,626,熊谷,36.15,139.38,68,1953,2020,217.6,-0.0311,-0.31,-0.091,0.460773
Meimuna opalifera first call,629,水戸,36.38,140.4667,68,1953,2020,223.2,0.0801,0.8,0.224,0.066207
Meimuna opalifera first call,631,敦賀,35.6533,136.0617,48,1953,2005,226.4,-0.1292,-1.29,-0.304,0.035435
Meimuna opalifera first call,632,岐阜,35.4,136.7617,42,1955,2020,230.9,0.2838,2.84,0.492,0.000935
Meimuna opalifera first call,636,名古屋,35.1667,136.965,68,1953,2020,224.5,0.0813,0.81,0.239,0.049646
Meimuna opalifera first call,637,飯田,35.5233,137.8217,54,1953,2006,224.8,0.1629,1.63,0.379,0.004741
Meimuna opalifera first call,638,甲府,35.6667,138.5533,60,1953,2020,217.4,-0.1179,-1.18,-0.249,0.054878
