date,year,doy,sst,clim_mean,clim_90th,anomaly,exceeds_90th
2022-01-01,2022,1,7.99,10.04,12.35,-2.05,0
2022-01-02,2022,2,8.30,9.90,12.28,-1.60,0
2022-01-03,2022,3,8.67,9.76,12.17,-1.09,0
2022-01-04,2022,4,8.84,9.63,12.14,-0.79,0
2022-01-05,2022,5,8.87,9.49,12.03,-0.62,0
2022-01-06,2022,6,9.19,9.36,11.97,-0.17,0
2022-01-07,2022,7,9.85,9.29,11.80,0.56,0
2022-01-08,2022,8,10.19,9.16,11.74,1.03,0
2022-01-09,2022,9,10.50,9.04,11.70,1.46,0
2022-01-10,2022,10,10.58,8.91,11.36,1.67,0
2022-01-11,2022,11,10.40,8.80,11.31,1.60,0
2022-01-12,2022,12,9.76,8.68,11.10,1.08,0
2022-01-13,2022,13,9.41,8.57,10.68,0.84,0
2022-01-14,2022,14,9.10,8.46,10.55,0.64,0
2022-01-15,2022,15,8.78,8.35,10.48,0.43,0
2022-01-16,2022,16,8.40,8.25,10.44,0.15,0
2022-01-17,2022,17,8.14,8.14,10.29,0.00,0
2022-01-18,2022,18,7.31,8.03,10.24,-0.72,0
2022-01-19,2022,19,7.21,7.94,10.20,-0.73,0
2022-01-20,2022,20,6.71,7.85,10.13,-1.14,0
2022-01-21,2022,21,6.18,7.77,9.96,-1.59,0
2022-01-22,2022,22,5.84,7.71,9.89,-1.87,0
2022-01-23,2022,23,5.62,7.64,9.78,-2.02,0
2022-01-24,2022,24,5.47,7.59,9.71,-2.12,0
2022-01-25,2022,25,5.47,7.52,9.66,-2.05,0
2022-01-26,2022,26,5.25,7.44,9.66,-2.19,0
2022-01-27,2022,27,5.63,7.37,9.63,-1.74,0
2022-01-28,2022,28,6.25,7.28,9.62,-1.03,0
2022-01-29,2022,29,6.81,7.18,9.58,-0.37,0
2022-01-30,2022,30,7.20,7.08,9.45,0.12,0
2022-01-31,2022,31,7.73,6.99,9.27,0.74,0
2022-02-01,2022,32,7.26,6.90,9.20,0.36,0
2022-02-02,2022,33,6.98,6.81,9.15,0.17,0
2022-02-03,2022,34,6.72,6.73,9.08,-0.01,0
2022-02-04,2022,35,6.78,6.64,9.06,0.14,0
2022-02-05,2022,36,6.93,6.55,9.03,0.38,0
2022-02-06,2022,37,6.83,6.48,8.93,0.35,0
2022-02-07,2022,38,7.08,6.42,8.93,0.66,0
2022-02-08,2022,39,7.29,6.36,8.85,0.93,0
2022-02-09,2022,40,7.38,6.32,8.81,1.06,0
2022-02-10,2022,41,7.76,6.29,8.74,1.47,0
2022-02-11,2022,42,7.75,6.25,8.67,1.50,0
2022-02-12,2022,43,7.60,6.21,8.56,1.39,0
2022-02-13,2022,44,7.54,6.16,8.39,1.38,0
2022-02-14,2022,45,8.24,6.11,8.28,2.13,0
2022-02-15,2022,46,8.35,6.04,8.14,2.31,1
2022-02-16,2022,47,8.31,5.98,8.06,2.33,1
2022-02-17,2022,48,9.01,5.92,8.04,3.09,1
2022-02-18,2022,49,9.22,5.87,8.01,3.35,1
2022-02-19,2022,50,9.31,5.82,7.94,3.49,1
2022-02-20,2022,51,8.87,5.77,7.88,3.10,1
