year,month,sst_observed,sst_predicted,residual_ke_index,pdo_contribution,oni_contribution,oni_lag_contribution,trend_contribution
1982,1,6.22,8.17,-1.95,-0.11,-0.02,-0.11,0.00
1982,2,3.87,6.53,-2.66,0.18,0.03,-0.10,0.00
1982,3,7.35,6.35,1.00,0.36,0.08,-0.06,0.00
1982,4,7.32,7.77,-0.45,0.68,0.21,-0.05,0.00
1982,5,9.34,11.59,-2.25,1.17,0.29,-0.06,0.01
1982,6,14.14,16.02,-1.88,0.96,0.32,-0.03,0.01
1982,7,17.28,18.37,-1.09,-0.12,0.35,-0.02,0.01
1982,8,19.21,22.44,-3.23,0.08,0.47,0.03,0.01
1982,9,20.64,21.05,-0.41,-0.49,0.70,0.07,0.01
1982,10,17.74,18.40,-0.66,-0.15,0.87,0.18,0.01
1982,11,13.52,16.34,-2.82,0.58,0.96,0.25,0.01
1982,12,10.60,12.47,-1.87,-0.16,0.99,0.28,0.01
1983,1,6.52,9.30,-2.78,-0.39,0.96,0.30,0.02
1983,2,3.46,6.74,-3.28,-0.94,0.85,0.41,0.02
1983,3,3.51,5.59,-2.08,-1.68,0.68,0.60,0.02
1983,4,5.58,7.05,-1.47,-1.22,0.57,0.75,0.02
1983,5,12.59,10.52,2.07,-0.98,0.47,0.83,0.02
1983,6,14.92,14.12,0.80,-1.84,0.32,0.85,0.02
1983,7,17.16,16.75,0.41,-2.39,0.14,0.83,0.02
1983,8,22.31,21.43,0.88,-1.14,-0.04,0.73,0.03
1983,9,18.94,20.72,-1.78,-0.46,-0.20,0.59,0.03
1983,10,17.17,16.99,0.18,-0.66,-0.36,0.49,0.03
1983,11,13.34,13.37,-0.03,-1.15,-0.44,0.40,0.03
1983,12,10.04,9.58,0.46,-1.67,-0.40,0.28,0.03
1984,1,8.67,6.92,1.75,-1.38,-0.27,0.12,0.03
1984,2,4.75,5.04,-0.29,-1.19,-0.19,-0.03,0.03
1984,3,4.16,4.16,-0.00,-1.51,-0.15,-0.18,0.03
1984,4,5.02,5.50,-0.48,-0.97,-0.19,-0.31,0.04
1984,5,6.00,8.77,-2.77,-0.84,-0.23,-0.38,0.04
1984,6,16.42,14.39,2.03,0.13,-0.20,-0.35,0.04
1984,7,18.89,18.17,0.72,0.34,-0.13,-0.23,0.04
1984,8,23.23,21.65,1.58,-0.01,-0.07,-0.16,0.04
1984,9,19.96,20.39,-0.43,-0.17,-0.11,-0.13,0.04
1984,10,15.57,16.70,-1.13,-0.42,-0.25,-0.16,0.04
1984,11,12.46,13.45,-0.99,-0.52,-0.41,-0.19,0.05
1984,12,10.77,10.25,0.52,-0.47,-0.50,-0.17,0.05
1985,1,7.12,7.04,0.08,-0.84,-0.46,-0.11,0.05
1985,2,3.24,5.56,-2.32,-0.47,-0.38,-0.06,0.05
1985,3,4.15,5.91,-1.76,0.33,-0.34,-0.09,0.05
1985,4,4.22,6.93,-2.71,0.50,-0.34,-0.21,0.05
1985,5,7.66,10.38,-2.72,0.84,-0.34,-0.35,0.05
1985,6,10.93,14.07,-3.14,-0.04,-0.28,-0.44,0.05
1985,7,14.59,17.09,-2.50,-0.50,-0.22,-0.40,0.06
1985,8,21.53,21.20,0.33,-0.18,-0.20,-0.32,0.06
1985,9,20.47,20.22,0.25,-0.13,-0.18,-0.29,0.06
1985,10,19.24,16.95,2.29,-0.14,-0.15,-0.30,0.06
1985,11,13.76,14.80,-1.04,0.63,-0.12,-0.30,0.06
1985,12,10.24,10.69,-0.45,-0.32,-0.16,-0.24,0.06
1986,1,6.48,7.06,-0.58,-1.01,-0.22,-0.19,0.06
1986,2,5.99,4.67,1.32,-1.42,-0.21,-0.18,0.07
1986,3,5.63,4.11,1.52,-1.63,-0.14,-0.15,0.07
1986,4,4.71,5.60,-0.89,-1.17,-0.09,-0.13,0.07
1986,5,9.59,9.27,0.32,-0.82,-0.05,-0.10,0.07
1986,6,10.99,14.09,-3.10,-0.60,-0.02,-0.14,0.07
1986,7,17.73,17.11,0.62,-1.02,0.10,-0.19,0.07
1986,8,22.22,22.12,0.10,0.18,0.19,-0.18,0.07
1986,9,21.47,21.06,0.41,0.03,0.31,-0.12,0.07
1986,10,17.66,16.93,0.73,-0.97,0.42,-0.08,0.08
1986,11,14.05,13.43,0.62,-1.63,0.50,-0.05,0.08
1986,12,9.89,10.29,-0.40,-1.66,0.54,-0.02,0.08
1987,1,5.77,7.69,-1.92,-1.42,0.54,0.08,0.08
1987,2,7.74,5.77,1.97,-1.41,0.53,0.17,0.08
1987,3,4.57,5.48,-0.91,-1.31,0.47,0.27,0.08
1987,4,6.18,6.46,-0.28,-1.34,0.42,0.36,0.08
1987,5,9.89,10.34,-0.45,-0.79,0.43,0.44,0.09
1987,6,14.79,15.81,-1.02,-0.05,0.54,0.47,0.09
1987,7,15.66,18.04,-2.38,-1.34,0.67,0.47,0.09
1987,8,21.89,21.46,0.43,-1.69,0.75,0.45,0.09
1987,9,21.33,20.59,0.74,-1.40,0.73,0.40,0.09
1987,10,17.66,17.93,-0.27,-0.66,0.65,0.36,0.09
1987,11,14.71,14.64,0.07,-0.90,0.55,0.37,0.09
1987,12,9.23,11.49,-2.26,-0.91,0.49,0.47,0.09
1988,1,7.19,9.22,-2.03,-0.22,0.36,0.58,0.10
1988,2,7.06,6.94,0.12,-0.46,0.24,0.65,0.10
1988,3,6.48,6.28,0.20,-0.47,0.06,0.63,0.10
