japanese_name,scientific_name,sti_celsius,sti_sd,n_valid_temps,confidence,resolution
アオバセセリ,Choaspes benjaminii,13.63,4.47,298,High,2.5m
アカシジミ,Japonica lutea,11.04,3.46,300,High,2.5m
アカタテハ,Vanessa indica,14.59,3.62,278,High,2.5m
アカボシゴマダラ,Hestina assimilis,15.45,1.25,296,High,2.5m
アカマダラ,Araschnia levana,5.94,1.18,299,High,2.5m
アゲハ,Papilio xuthus,15.51,1.16,298,High,2.5m
アサギマダラ,Parantica sita,13.75,4.61,285,High,2.5m
アサヒヒョウモン,Boloria freija,-2.21,1.96,6,Low,2.5m
アサマイチモンジ,Limenitis glorifica,13.86,2.40,69,High,2.5m
イシガケチョウ,Cyrestis thyodamas,22.20,3.18,224,High,2.5m
イチモンジセセリ,Parnara guttatus,14.88,2.03,298,High,2.5m
イチモンジチョウ,Ladoga camilla,13.62,3.24,300,High,2.5m
ウスバキチョウ,Parnassius eversmanni,-2.09,3.24,19,Medium,2.5m
ウスバシロチョウ,Parnassius glacialis,11.39,2.28,300,High,2.5m
ウラギンシジミ,Curetis acuta,14.74,1.55,299,High,2.5m
ウラギンスジヒョウモン,Argyronome laodice,9.41,2.35,176,High,2.5m
ウラギンヒョウモン,Fabriciana adippe,9.33,2.77,300,High,2.5m
ウラゴマダラシジミ,Artopoetes pryeri,13.74,3.93,298,High,2.5m
ウラナミアカシジミ,Japonica saepestriata,14.06,2.80,300,High,2.5m
ウラナミシジミ,Lampides boeticus,15.49,2.39,295,High,2.5m
エゾシロチョウ,Aporia crataegi,6.19,1.70,300,High,2.5m
エゾスジグロシロチョウ,Pieris napi,10.36,3.32,185,High,2.5m
エゾヒメシロチョウ,Leptidea amurensis,9.19,2.42,248,High,2.5m
エゾミドリシジミ,Favonius jezoensis,7.94,1.83,300,High,2.5m
エルタテハ,Nymphalis vaualbum,6.26,2.37,300,High,2.5m
オオイチモンジ,Limenitis populi,5.06,1.40,22,Medium,2.5m
オオウラギンスジヒョウモン,Argyronome ruslana,9.52,2.53,300,High,2.5m
オオチャバネセセリ,Polytremis pellucida,11.03,3.22,299,High,2.5m
オオヒカゲ,Ninguta schrenckii,9.27,2.56,259,High,2.5m
オオミスジ,Neptis alwina,9.33,2.05,234,High,2.5m
オオミドリシジミ,Favonius orientalis,10.47,3.09,300,High,2.5m
オオモンシロチョウ,Pieris brassicae,6.09,1.78,200,High,2.5m
オナガアゲハ,Papilio macilentus,12.06,2.73,298,High,2.5m
オナガシジミ,Araragi enthea,9.31,1.98,250,High,2.5m
カラスアゲハ,Papilio dehaanii,14.54,2.89,297,High,2.5m
カラスシジミ,Satyrium w-album,6.01,1.99,61,High,2.5m
カラフトルリシジミ,Vacciniina optilete,3.49,2.08,4,Low,2.5m
キアゲハ,Papilio machaon,12.97,4.23,296,High,2.5m
キタテハ,Polygonia c-aureum,14.84,1.62,300,High,2.5m
キチョウ,Eurema mandarina,14.84,1.84,299,High,2.5m
キバネセセリ,Bibasis aquilina,6.26,1.76,112,High,2.5m
キベリタテハ,Nymphalis antiopa,6.02,2.26,300,High,2.5m
ギンボシヒョウモン,Speyeria aglaja,6.09,2.32,296,High,2.5m
クジャクチョウ,Aglais io,6.62,2.68,298,High,2.5m
クモガタヒョウモン,Argynnis anadyomene,11.40,3.64,39,High,2.5m
クモマツマキチョウ,Anthocharis cardamines,8.28,2.96,23,Medium,2.5m
クモマベニヒカゲ,Erebia ligea,5.21,3.59,60,High,2.5m
