scientific_name,sti_celsius,n_valid,confidence
Acanthis flammea,6.99,283,High
Accipiter nisus,14.97,298,High
Acridotheres tristis,23.54,125,High
Acrocephalus orientalis,14.84,299,High
Actitis hypoleucos,15.44,295,High
Aegithalos caudatus,14.84,300,High
Agropsar philippensis,12.35,293,High
Aix galericulata,15.39,298,High
Alauda arvensis,15.20,298,High
Alcedo atthis,15.15,299,High
Anas acuta,14.84,298,High
Anas crecca,15.12,299,High
Anas platyrhynchos,14.91,298,High
Anas poecilorhyncha,15.08,298,High
Anas zonorhyncha,15.38,296,High
Anser albifrons,11.21,299,High
Anthus cervinus,16.82,283,High
Anthus hodgsoni,14.93,299,High
Apus nipalensis,15.50,300,High
Apus pacificus,16.00,291,High
Ardea alba,14.84,297,High
Ardea cinerea,15.38,296,High
Arenaria interpres,15.71,268,High
Asio flammeus,13.97,294,High
Aythya ferina,15.50,299,High
Aythya fuligula,15.49,300,High
Aythya marila,15.50,292,High
Bambusicola thoracicus,14.88,300,High
Bombycilla garrulus,14.04,298,High
Bombycilla japonica,10.76,300,High
Branta bernicla,8.99,248,High
Bucephala clangula,7.13,286,High
Bulweria bulwerii,18.13,3,Low
Butastur indicus,22.11,289,High
Buteo japonicus,14.84,297,High
Butorides striata,15.71,300,High
Calcarius lapponicus,12.95,117,High
Calonectris leucomelas,15.61,69,High
Caprimulgus jotaka,10.93,265,High
Carpodacus roseus,9.86,300,High
Carpodacus sibiricus,12.60,299,High
Cecropis daurica,15.02,298,High
Centropus bengalensis,,0,None
Certhia familiaris,6.73,299,High
Chloris sinica,14.84,297,High
Cinclus pallasii,9.30,300,High
Circus cyaneus,15.56,297,High
Circus spilonotus,14.53,300,High
Cisticola juncidis,15.93,298,High
Coccothraustes coccothraustes,14.84,298,High
Coloeus dauuricus,16.82,300,High
Columba janthina,21.23,249,High
Columba livia,15.63,299,High
Corvus corone,14.84,299,High
Corvus frugilegus,16.82,298,High
Corvus macrorhynchos,15.52,295,High
Coturnix japonica,14.49,267,High
Cuculus canorus,7.59,297,High
Cuculus hyperythrus,9.90,300,High
Cuculus optatus,9.10,300,High
Cuculus poliocephalus,14.54,298,High
Cyanopica cyanus,15.20,299,High
Cyanoptila cyanomelana,13.91,299,High
Cygnus columbianus,14.16,299,High
Cygnus cygnus,7.39,296,High
Delichon dasypus,15.19,300,High
Dendrocopos leucotos,7.40,294,High
Dendrocopos major,7.81,299,High
Egretta garzetta,15.15,299,High
Egretta intermedia,16.82,294,High
Egretta sacra,21.96,293,High
Emberiza cioides,14.84,299,High
Emberiza elegans,14.93,298,High
Emberiza fucata,16.16,297,High
Emberiza personata,15.06,299,High
Emberiza rustica,13.41,299,High
Emberiza schoeniclus,15.31,299,High
Emberiza sulphurata,9.86,299,High
Emberiza variabilis,14.57,299,High
Eophona migratoria,15.21,178,High
