study,lat,lon,slope,se,p,n,year_range
709,36.976800,-6.312800,-0.001472,0.000979,0.140516,43,1980-2023
809,53.307573,-0.859682,-0.001315,0.000869,0.138175,42,1978-2019
582,59.817000,22.900000,-0.002757,0.000636,0.000108,39,1979-2019
333,39.083333,-96.583330,0.002544,0.001845,0.181257,25,1982-2008
624,51.300151,4.285094,-0.000330,0.002000,0.870482,24,1993-2016
67,-27.734800,28.130300,0.013909,0.004087,0.002680,23,1984-2006
166,44.834333,-64.165671,-0.005805,0.003318,0.098263,19,1970-1988
522,-17.860000,30.671333,0.014615,0.005960,0.027928,16,1993-2011
527,66.629408,-167.905299,-0.008869,0.003178,0.015312,15,2006-2020
169,34.126848,-120.750630,0.002775,0.003730,0.471091,14,1988-2006
374,37.714222,141.083823,-0.001162,0.002194,0.609133,11,2004-2014
694,34.418035,-119.835351,0.003322,0.002832,0.270983,11,2009-2019
372,35.845000,137.892000,-0.020635,0.008576,0.061156,7,2006-2012
225,33.430000,-111.930000,0.026906,0.006727,0.016132,6,2001-2011
702,33.478659,-111.983234,0.024543,0.004777,0.006802,6,2001-2011
108,-54.729538,122.069979,0.000651,0.014020,0.965182,6,1990-1999
377,35.605000,136.362000,-0.011874,0.006249,0.153625,5,2008-2012
